SUBJECT	TIME	CHARITY	INCOME	PRICE	AGE	MS	DEPS
1	1	6.44572	10.1781	-0.3285	0	1	2
1	2	6.13123	10.1857	-0.3285	0	1	1
1	3	6.32794	10.3542	-0.38566	0	1	1
1	4	6.41346	10.4694	-0.40048	0	1	1
1	5	6.49224	10.5216	-0.35667	0	1	1
1	6	6.56526	10.5662	-0.3285	0	1	1
1	7	6.59987	10.6428	-0.40048	0	1	1
1	8	6.66568	10.7012	-0.40048	0	1	1
1	9	2.30259	10.7091	-1.60944	0	1	1
1	10	2.30259	10.7716	-0.3285	0	1	1
2	1	7.58274	10.0121	-0.30111	0	0	1
2	2	6.24611	10.0543	-0.30111	0	0	1
2	3	7.57147	9.9993	-0.27444	0	0	1
2	4	7.18159	10.2367	-0.3285	1	0	1
2	5	7.91132	10.1542	-0.23572	1	0	0
2	6	7.55433	10.3258	-0.30111	1	0	0
2	7	6.99393	10.3189	-0.3285	1	0	0
2	8	7.49499	10.274	-0.30111	1	0	0
2	9	8.12445	10.523	-0.69315	1	0	0
2	10	7.90249	10.678	-0.3285	0	0	0
3	1	6.24998	10.306	-0.4943	0	0	0
3	2	6.41346	10.332	-0.4943	0	0	0
3	3	6.56526	10.449	-0.57982	0	0	0
3	4	6.69703	10.4536	-0.43078	0	0	0
3	5	6.75693	10.5797	-0.44629	0	0	0
3	6	6.94698	10.5792	-0.41552	0	0	0
3	7	6.70319	10.6854	-0.41552	0	0	0
3	8	7.17778	10.7017	-0.41552	0	0	0
3	9	7.48437	10.8063	-0.69315	0	0	0
3	10	7.50108	10.8861	-0.3285	0	0	0
4	1	6.90475	10.0459	-0.27444	0	1	4
4	2	7.11883	10.3302	-0.3285	0	1	4
4	3	7.08757	10.4602	-0.38566	0	1	4
4	4	7.38399	10.4473	-0.34249	0	1	4
4	5	7.07412	10.3472	-0.26136	0	1	4
4	6	7.04403	10.396	-0.28768	0	1	4
4	7	7.33954	10.6008	-0.3285	0	1	4
4	8	7.34148	10.5506	-0.28768	0	1	4
4	9	7.51752	10.683	-1.60944	0	1	3
4	10	7.61332	10.6874	-0.3285	0	1	3
5	1	5.95324	9.9926	-0.30111	0	0	2
5	2	6.06379	10.1259	-0.37106	0	0	2
5	3	7.33302	10.3016	-0.37106	0	0	2
5	4	6.86693	10.2737	-0.3285	0	0	2
5	5	6.8977	10.3675	-0.28768	0	0	2
5	6	6.97541	10.4115	-0.27444	0	0	2
5	7	7.09423	10.4861	-0.27444	0	0	2
5	8	7.21524	10.5324	-0.3285	0	0	1
5	9	7.96728	10.9536	-1.60944	0	1	2
5	10	8.03431	11.0594	-0.3285	0	1	2
6	1	5.8861	10.4619	0	0	1	5
6	2	5.68698	10.1938	-0.27444	0	1	5
6	3	5.77144	10.4024	-0.3285	0	1	5
6	4	6.32436	10.3822	-0.28768	0	1	5
6	5	6.50429	10.4223	-0.26136	0	1	5
6	6	6.25383	10.5795	-0.3285	0	1	5
