SIC	FIRMID	TIME	SFDMAT	DEBTMAT	MVBV	SIZE	CHNGEEPS	GTAXRATE	BTAXRATE	ASSETMAT	VAR	ADVRD	INTANG	TERM	BONDRATE	RATEDUM	TAXRATE	LOWBOND	HIGHBOND	LEVERAGE
1040	1	1	0.503499985	0.503499985	4.67069006	5.653999805	-0.137500003	0.378100008	0	20.08979988	0.162384003	0	0	-0.019300001	8	0	0.378100008	1	0	0
1040	1	2	1.71570003	2.884000063	2.915169954	5.411600113	0.040899999	0.40110001	0	21.96890068	0.162384003	0	0	0.02249	8	0	0.40110001	1	0	0.034378
1040	1	3	1.885900021	3.100199938	4.2614398	5.845699787	0.0414	0.023499999	0	36.51660156	0.162384003	0	0	0.023150001	8	0	0.023499999	1	0	0.030370001
1040	1	4	0.426800013	0.573300004	3.018959999	5.888599873	-0.0405	0.313199997	0	30.66279984	0.162384003	0	0	0.026900001	8	0	0.313199997	1	0	0.002837
1040	1	5	0.350400001	0.453099996	2.107120037	5.961500168	-0.045499999	0.538399994	0	7.259699821	0.162384003	0	0	0.031399999	8	0	0.538399994	1	0	0.002559
1040	1	6	0.152400002	0.152400002	2.328000069	5.94990015	-0.033500001	0	-0.0287	6.712999821	0.162384003	0	0	0.0217	8	0	-0.0287	1	0	0.001412
1040	1	7	0.155900002	0.155900002	2.248470068	5.753900051	0.107600004	0.086999998	0	7.736999989	0.162384003	0	0	0.015799999	8	0	0.086999998	1	0	0.001636
1040	1	8	0.605799973	0.605799973	2.40576005	5.992199898	0.0167	0.185699999	0	9.089099884	0.162384003	0	0	0.0263	8	0	0.185699999	1	0	0.025319999
1040	1	9	3.953200102	3.953200102	2.048789978	5.897099972	-0.114100002	0	-0.230599999	9.408100128	0.162384003	0.014466	0	0.0087	8	0	-0.230599999	1	0	0.044794999
1040	1	10	11.86999989	11.86999989	2.119999886	6.045199871	0.072899997	0.134100005	0	6.769199848	0.162384003	0.001998	0	0.0039	6	1	0.134100005	0	0	0.138028994
1040	2	1	0.4736	0.4736	3.249830008	7.212100029	-0.065200001	0.303299993	0	2.944900036	0.073150001	0	0	-0.019300001	8	0	0.303299993	1	0	0.000195
1040	2	2	0.252600014	0.252600014	1.942379951	6.55369997	-0.018200001	0.203799993	0	5.954400063	0.073150001	0	0	0.02249	8	0	0.203799993	1	0	0.000663
1040	2	3	0.297800005	0.297800005	2.68321991	6.933499813	0.0011	0	-0.210099995	3.141000032	0.073150001	0	0	0.023150001	8	0	-0.210099995	1	0	0.000427
1040	2	4	5.50880003	5.50880003	2.357439995	7.071499825	-0.0165	0.172000006	0	3.999200106	0.073150001	0	0	0.026900001	8	0	0.172000006	1	0	0.015283
1040	2	5	7.720099926	7.720099926	1.726729989	7.054100037	-0.0056	0.165700004	0	8.106800079	0.073150001	0	0	0.031399999	8	0	0.165700004	1	0	0.029269001
1040	2	6	5.493100166	5.493100166	1.809389949	7.124199867	-0.0004	0	-0.861699998	5.304800034	0.073150001	0	0	0.0217	8	0	-0.861699998	1	0	0.027182
1040	2	7	5.834899902	5.834899902	1.969409943	7.219200134	0.0414	0.115699999	0	5.284699917	0.073150001	0	0	0.015799999	8	0	0.115699999	1	0	0.025634
1040	2	8	3.894900084	3.894900084	2.105570078	7.538300037	-0.048799999	0.311100006	0	4.729599953	0.073150001	0	0	0.0263	8	0	0.311100006	1	0	0.018158
1040	2	9	5.280900002	5.814400196	1.481469989	7.223800182	-0.0372	0.205599994	0	6.194200039	0.073150001	0	0	0.0087	8	0	0.205599994	1	0	0.053075001
1040	2	10	3.485399961	3.693000078	1.985949993	7.573800087	-0.019300001	0.336499989	0	6.151000023	0.073150001	0	0	0.0039	8	0	0.336499989	1	0	0.046530999
1040	3	1	2.566400051	4.514999866	1.193160057	7.581799984	-0.094400004	0.203099996	0	9.437299728	0.040736001	0	0	-0.019300001	8	0	0.203099996	1	0	0.114371002
1040	3	2	2.28399992	3.887300014	0.929059982	7.519499779	-0.0294	0.241600007	0	7.556600094	0.040736001	0	0	0.02249	8	0	0.241600007	1	0	0.109265
1040	3	3	4.467299938	5.926799774	1.088950038	7.659100056	-0.0002	0	-0.700900018	8.753299713	0.040736001	0	0	0.023150001	8	0	-0.700900018	1	0	0.110662997
